text1	text2	labels	predictions	bad_case
一个人在切洋葱。	男人切洋葱。	5	3	True
一个男人袭击了一个女人。	男人扇女人耳光。	3	1	True
一个女人在切漱口。	一个女人在切洋葱。	2	0	True
一个年轻的女人在她的脸上贴满了标签。	一个女人正在用贴纸贴她的脸。	4	1	True
一个男人在吃东西。	一个男人正在吃一片面包。	3	1	True
一个男人把三块肉放进平底锅里。	一个男人正在往锅里放肉。	4	2	True
这个男人正在用照相机钉子。	有人在用照相机镜头拍钉子。	2	5	True
一个人在一个大触摸屏上画。	一个男人在一块数字干抹板上画。	3	1	True
一个男人在玩扑克牌。	一个男人在玩纸牌戏法。	5	1	True
一个男人在踢足球。	一个男人正在用脚操纵足球。	2	4	True
这位女士剥了马铃薯的皮。	一个女人在剥土豆。	4	1	True
一个男人正在把大蒜放在一些面包片上。	一个男人正把调味料撒在几个撒了黄油的面包上。	2	0	True
一个男人在骑自行车。	一个男孩在骑自行车。	2	4	True
两个男人在拳击场上打架。	两个男人拳打脚踢。	5	3	True
一个男人在剥土豆。	一个男人在切土豆。	2	4	True
一个人弹吉他。	一个男人在弹吉他。	5	2	True
一个人在小溪边骑马。	一个人在骑马。	4	2	True
猫自己打扫卫生。	猫在舔自己。	3	1	True
一个男人在踢足球。	一个男人在玩足球的把戏。	2	4	True
那个女人在量另一个女人。	那位女士量了另一个女人的脚踝。	3	1	True
一个男人把米倒进锅里。	一个男人正在把米饭放进保龄球罐里。	4	1	True
一个人在擦洗西葫芦。	一个女人正在用蔬菜刷擦洗西葫芦。	4	2	True
一只熊猫正在啃一根棍子。	熊猫宝宝玩棍子。	3	1	True
人们在提包。	几个人提着大袋子。	3	1	True
那人正向一棵树扔刀子。	一名男子正在向外面的近距离目标投掷刀刃。	3	1	True
一个女人化妆。	一个女人在涂眼影。	3	1	True
猫在他的水里玩耍。	猫从他的水盘里捞出一根稻草。	3	1	True
这个男人正在锻炼。	一个男人在做引体向上。	3	0	True
一个男人抱着婴儿睡觉。	抱着婴儿在椅子上睡着的男人。	4	1	True
戴着高帽的人骑着一匹白马。	戴着大礼帽骑着一匹白马的人。	5	3	True
两个印度女人和两个印度女孩在水边。	两个印度女人和两个印度女孩站在海滩上。	4	1	True
三个年轻的女人一起站在一个房间里。	三个黑头发的年轻女子穿着白色、红色和黑色的毛衣。	3	0	True
三只羊在一条土路上，从一辆客车上看去。	三只羊在一条土路上从一辆车里被射中。	2	4	True
一头黑白相间的母牛站在雪堆旁。	站在田野里的一头黑白相间的母牛。	3	1	True
家庭办公空间与明亮的绿色墙壁和艺术品。	有多张桌子和绿色墙壁的办公室。	3	1	True
站在草地上的一只黑狗。	一只长毛的狗站在长满草的树林里。	3	1	True
一个穿条纹衬衫的年轻人手里拿着两辆自行车。	年轻的红发男子手持两辆自行车靠近海滩。	3	1	True
这只小狗穿着一件毛衣，抬头看着照相机。	一只穿着夹克衫的小白狗抬起头看着照相机。	4	2	True
一位老人在家用笔记本电脑工作。	坐在沙发上拿着笔记本电脑的老先生。	4	1	True
一大堆木制的东西堆得很高。	一大堆废木头。	3	1	True
两个女人坐在商店的椅子上。	两个女人坐在咖啡馆里。	3	1	True
一列黑色的火车沿着铁轨行驶。	一列长长的火车在铁轨上。	2	4	True
这是一台带有两个遥控器的飞利浦平板电视。	一台带两个遥控器的菲利普斯平板电视。	5	2	True
一位看着红色摩托车的老先生。	一个男人看着一辆红色的摩托车。	4	2	True
黑白两种奶牛在围栏里吃草。	两头黑白相间的奶牛从池塘里喝水。	1	3	True
一张爱情座椅的黑白照片。	黑白沙发照片，一头是钱包。	3	1	True
一群人走过一个巨大的蘑菇。	一群四个人走过一个巨大的蘑菇。	4	2	True
一群人坐在意大利餐馆的一张桌子旁。	一群六个人坐在一张桌子旁，端着沙拉。	3	1	True
抱着新生儿的老妇人。	坐在沙发上抱着孩子的女人。	3	1	True
一男一女牵着一条白狗散步。	一个男人、一个女人和一条狗沿着一条铺好的路走着。	4	2	True
一个穿着红色冬衣的小男孩正在吃东西，手里拿着一块糖果。	一个穿着红色外套的小男孩吃一块巧克力棒。	4	1	True
四个孩子坐在餐厅的凳子上。	四个孩子坐在黄色和灰色的高脚凳上。	3	1	True
一个白人男孩和一个黑人男孩手挽着手站着。	两个小男孩，一个是白人，一个是黑人，手挽着对方站着。	4	2	True
两只狗在院子里玩耍。	两只狗在草地上玩耍。	4	1	True
三个孩子在花毯上摔跤。	三个孩子在地板上玩耍。	3	1	True
一只湿漉漉的金发狗在岸边举着一根棍子。	这只棕色湿漉漉的狗嘴里叼着一根棍子，正在水旁的沙子里奔跑。	3	1	True
